BASIC5000_3404,bas50003404
BASIC5000_3955,bas50003955
BASIC5000_2493,bas50002493
BASIC5000_3799,bas50003799
BASIC5000_3941,bas50003941
BASIC5000_2487,bas50002487
BASIC5000_0290,bas50000290
BASIC5000_1830,bas50001830
BASIC5000_4948,bas50004948
BASIC5000_4790,bas50004790
BASIC5000_3570,bas50003570
BASIC5000_1367,bas50001367
BASIC5000_0079,bas50000079
BASIC5000_1401,bas50001401
BASIC5000_2108,bas50002108
BASIC5000_3216,bas50003216
BASIC5000_4579,bas50004579
BASIC5000_3202,bas50003202
BASIC5000_1415,bas50001415
BASIC5000_1373,bas50001373
BASIC5000_3564,bas50003564
BASIC5000_0045,bas50000045
BASIC5000_4223,bas50004223
BASIC5000_2652,bas50002652
BASIC5000_2134,bas50002134
BASIC5000_4545,bas50004545
BASIC5000_0723,bas50000723
BASIC5000_0737,bas50000737
BASIC5000_1429,bas50001429
BASIC5000_2120,bas50002120
BASIC5000_4551,bas50004551
BASIC5000_4237,bas50004237
BASIC5000_3558,bas50003558
BASIC5000_2646,bas50002646
BASIC5000_0051,bas50000051
BASIC5000_2875,bas50002875
BASIC5000_0904,bas50000904
BASIC5000_0910,bas50000910
BASIC5000_2861,bas50002861
BASIC5000_2691,bas50002691
BASIC5000_2849,bas50002849
BASIC5000_0086,bas50000086
BASIC5000_1398,bas50001398
BASIC5000_0938,bas50000938
BASIC5000_4586,bas50004586
BASIC5000_4592,bas50004592
BASIC5000_0092,bas50000092
BASIC5000_2685,bas50002685
BASIC5000_4593,bas50004593
BASIC5000_2684,bas50002684
BASIC5000_0093,bas50000093
BASIC5000_1399,bas50001399
BASIC5000_0087,bas50000087
BASIC5000_2848,bas50002848
BASIC5000_2690,bas50002690
BASIC5000_4587,bas50004587
BASIC5000_0939,bas50000939
BASIC5000_0911,bas50000911
BASIC5000_2860,bas50002860
BASIC5000_2874,bas50002874
BASIC5000_0905,bas50000905
BASIC5000_4550,bas50004550
BASIC5000_2121,bas50002121
BASIC5000_1428,bas50001428
BASIC5000_0736,bas50000736
BASIC5000_0050,bas50000050
BASIC5000_2647,bas50002647
BASIC5000_3559,bas50003559
BASIC5000_4236,bas50004236
BASIC5000_2653,bas50002653
BASIC5000_4222,bas50004222
BASIC5000_0044,bas50000044
BASIC5000_0722,bas50000722
BASIC5000_4544,bas50004544
BASIC5000_2135,bas50002135
BASIC5000_1414,bas50001414
BASIC5000_3203,bas50003203
BASIC5000_3565,bas50003565
BASIC5000_1372,bas50001372
BASIC5000_0078,bas50000078
BASIC5000_1366,bas50001366
BASIC5000_3571,bas50003571
BASIC5000_4578,bas50004578
BASIC5000_3217,bas50003217
BASIC5000_2109,bas50002109
BASIC5000_1400,bas50001400
BASIC5000_0291,bas50000291
BASIC5000_2486,bas50002486
BASIC5000_3940,bas50003940
BASIC5000_3798,bas50003798
BASIC5000_4791,bas50004791
BASIC5000_4949,bas50004949
BASIC5000_1831,bas50001831
BASIC5000_1825,bas50001825
BASIC5000_4785,bas50004785
BASIC5000_2492,bas50002492
BASIC5000_3954,bas50003954
BASIC5000_0285,bas50000285
BASIC5000_4975,bas50004975
BASIC5000_4961,bas50004961
BASIC5000_1819,bas50001819
BASIC5000_3968,bas50003968
BASIC5000_4034,bas50004034
BASIC5000_2445,bas50002445
BASIC5000_3983,bas50003983
BASIC5000_0252,bas50000252
BASIC5000_0534,bas50000534
BASIC5000_2323,bas50002323
BASIC5000_4752,bas50004752
BASIC5000_2337,bas50002337
BASIC5000_3029,bas50003029
BASIC5000_4746,bas50004746
BASIC5000_0520,bas50000520
BASIC5000_1158,bas50001158
BASIC5000_0246,bas50000246
BASIC5000_4020,bas50004020
BASIC5000_2451,bas50002451
BASIC5000_3997,bas50003997
BASIC5000_1170,bas50001170
BASIC5000_4008,bas50004008
BASIC5000_3767,bas50003767
BASIC5000_2479,bas50002479
BASIC5000_3001,bas50003001
BASIC5000_0508,bas50000508
BASIC5000_1616,bas50001616
BASIC5000_1602,bas50001602
BASIC5000_3015,bas50003015
BASIC5000_3773,bas50003773
BASIC5000_1164,bas50001164
BASIC5000_4183,bas50004183
BASIC5000_3834,bas50003834
BASIC5000_2294,bas50002294
BASIC5000_0483,bas50000483
BASIC5000_1945,bas50001945
BASIC5000_0497,bas50000497
BASIC5000_1951,bas50001951
BASIC5000_1789,bas50001789
BASIC5000_2280,bas50002280
BASIC5000_4829,bas50004829
BASIC5000_4197,bas50004197
BASIC5000_3820,bas50003820
BASIC5000_3808,bas50003808
BASIC5000_1979,bas50001979
BASIC5000_4801,bas50004801
BASIC5000_4815,bas50004815
BASIC5000_2531,bas50002531
BASIC5000_4140,bas50004140
BASIC5000_0326,bas50000326
BASIC5000_1038,bas50001038
BASIC5000_0440,bas50000440
BASIC5000_1986,bas50001986
BASIC5000_4626,bas50004626
BASIC5000_3149,bas50003149
BASIC5000_2257,bas50002257
BASIC5000_4632,bas50004632
BASIC5000_2243,bas50002243
BASIC5000_0454,bas50000454
BASIC5000_1992,bas50001992
BASIC5000_0332,bas50000332
BASIC5000_2525,bas50002525
BASIC5000_4154,bas50004154
BASIC5000_1004,bas50001004
BASIC5000_3613,bas50003613
BASIC5000_3175,bas50003175
BASIC5000_1762,bas50001762
BASIC5000_1776,bas50001776
BASIC5000_0468,bas50000468
BASIC5000_3161,bas50003161
BASIC5000_2519,bas50002519
BASIC5000_3607,bas50003607
BASIC5000_4168,bas50004168
BASIC5000_1010,bas50001010
BASIC5000_0859,bas50000859
BASIC5000_0681,bas50000681
BASIC5000_3388,bas50003388
BASIC5000_2096,bas50002096
BASIC5000_4381,bas50004381
BASIC5000_2928,bas50002928
BASIC5000_4395,bas50004395
BASIC5000_2082,bas50002082
BASIC5000_0695,bas50000695
BASIC5000_0865,bas50000865
BASIC5000_2914,bas50002914
BASIC5000_2900,bas50002900
BASIC5000_0871,bas50000871
BASIC5000_2055,bas50002055
BASIC5000_4424,bas50004424
BASIC5000_0642,bas50000642
BASIC5000_0124,bas50000124
BASIC5000_4342,bas50004342
BASIC5000_2733,bas50002733
BASIC5000_4356,bas50004356
BASIC5000_3439,bas50003439
BASIC5000_2727,bas50002727
BASIC5000_0130,bas50000130
BASIC5000_0656,bas50000656
BASIC5000_1548,bas50001548
BASIC5000_2041,bas50002041
BASIC5000_4430,bas50004430
BASIC5000_1560,bas50001560
BASIC5000_2069,bas50002069
BASIC5000_3377,bas50003377
BASIC5000_4418,bas50004418
BASIC5000_3411,bas50003411
BASIC5000_1206,bas50001206
BASIC5000_0118,bas50000118
BASIC5000_1212,bas50001212
BASIC5000_3405,bas50003405
BASIC5000_3363,bas50003363
BASIC5000_1574,bas50001574
BASIC5000_1204,bas50001204
BASIC5000_3413,bas50003413
BASIC5000_3375,bas50003375
BASIC5000_1562,bas50001562
BASIC5000_1576,bas50001576
BASIC5000_0668,bas50000668
BASIC5000_3361,bas50003361
BASIC5000_2719,bas50002719
BASIC5000_3407,bas50003407
BASIC5000_4368,bas50004368
BASIC5000_1210,bas50001210
BASIC5000_2731,bas50002731
BASIC5000_4340,bas50004340
BASIC5000_0126,bas50000126
BASIC5000_1238,bas50001238
BASIC5000_0898,bas50000898
BASIC5000_0640,bas50000640
BASIC5000_4426,bas50004426
BASIC5000_3349,bas50003349
BASIC5000_2057,bas50002057
BASIC5000_4432,bas50004432
BASIC5000_2043,bas50002043
BASIC5000_0654,bas50000654
BASIC5000_0132,bas50000132
BASIC5000_2725,bas50002725
BASIC5000_4354,bas50004354
BASIC5000_2916,bas50002916
BASIC5000_0867,bas50000867
BASIC5000_0873,bas50000873
BASIC5000_2902,bas50002902
BASIC5000_4383,bas50004383
BASIC5000_2094,bas50002094
BASIC5000_0683,bas50000683
BASIC5000_0697,bas50000697
BASIC5000_1589,bas50001589
BASIC5000_2080,bas50002080
BASIC5000_4397,bas50004397
BASIC5000_1760,bas50001760
BASIC5000_2269,bas50002269
BASIC5000_3177,bas50003177
BASIC5000_4618,bas50004618
BASIC5000_3611,bas50003611
BASIC5000_1006,bas50001006
BASIC5000_0318,bas50000318
BASIC5000_1012,bas50001012
BASIC5000_3605,bas50003605
BASIC5000_3163,bas50003163
BASIC5000_1774,bas50001774
BASIC5000_2255,bas50002255
BASIC5000_4624,bas50004624
BASIC5000_1984,bas50001984
BASIC5000_0442,bas50000442
BASIC5000_0324,bas50000324
BASIC5000_4142,bas50004142
BASIC5000_2533,bas50002533
BASIC5000_4156,bas50004156
BASIC5000_3639,bas50003639
BASIC5000_2527,bas50002527
BASIC5000_0330,bas50000330
BASIC5000_1990,bas50001990
BASIC5000_0456,bas50000456
BASIC5000_1748,bas50001748
BASIC5000_2241,bas50002241
BASIC5000_4630,bas50004630
BASIC5000_4803,bas50004803
BASIC5000_4817,bas50004817
BASIC5000_1947,bas50001947
BASIC5000_0481,bas50000481
BASIC5000_3188,bas50003188
BASIC5000_2296,bas50002296
BASIC5000_3836,bas50003836
BASIC5000_4181,bas50004181
BASIC5000_3822,bas50003822
BASIC5000_4195,bas50004195
BASIC5000_2282,bas50002282
BASIC5000_1953,bas50001953
BASIC5000_0495,bas50000495
BASIC5000_1614,bas50001614
BASIC5000_3003,bas50003003
BASIC5000_3765,bas50003765
BASIC5000_1172,bas50001172
BASIC5000_0278,bas50000278
BASIC5000_1166,bas50001166
BASIC5000_3771,bas50003771
BASIC5000_4778,bas50004778
BASIC5000_3017,bas50003017
BASIC5000_2309,bas50002309
BASIC5000_1600,bas50001600
BASIC5000_4750,bas50004750
BASIC5000_2321,bas50002321
BASIC5000_4988,bas50004988
BASIC5000_1628,bas50001628
BASIC5000_0536,bas50000536
BASIC5000_0250,bas50000250
BASIC5000_3981,bas50003981
BASIC5000_2447,bas50002447
BASIC5000_3759,bas50003759
BASIC5000_4036,bas50004036
BASIC5000_3995,bas50003995
BASIC5000_2453,bas50002453
BASIC5000_4022,bas50004022
BASIC5000_0244,bas50000244
BASIC5000_0522,bas50000522
BASIC5000_4744,bas50004744
BASIC5000_2335,bas50002335
BASIC5000_4977,bas50004977
BASIC5000_4963,bas50004963
BASIC5000_1833,bas50001833
BASIC5000_4793,bas50004793
BASIC5000_3942,bas50003942
BASIC5000_2484,bas50002484
BASIC5000_0293,bas50000293
BASIC5000_1199,bas50001199
BASIC5000_0287,bas50000287
BASIC5000_3956,bas50003956
BASIC5000_2490,bas50002490
BASIC5000_4787,bas50004787
BASIC5000_1827,bas50001827
BASIC5000_1370,bas50001370
BASIC5000_4208,bas50004208
BASIC5000_3567,bas50003567
BASIC5000_2679,bas50002679
BASIC5000_3201,bas50003201
BASIC5000_0708,bas50000708
BASIC5000_1416,bas50001416
BASIC5000_1402,bas50001402
BASIC5000_3215,bas50003215
BASIC5000_3573,bas50003573
BASIC5000_1364,bas50001364
BASIC5000_4234,bas50004234
BASIC5000_2645,bas50002645
BASIC5000_0052,bas50000052
BASIC5000_0734,bas50000734
BASIC5000_2123,bas50002123
BASIC5000_4552,bas50004552
BASIC5000_2137,bas50002137
BASIC5000_3229,bas50003229
BASIC5000_4546,bas50004546
BASIC5000_0720,bas50000720
BASIC5000_1358,bas50001358
BASIC5000_0046,bas50000046
BASIC5000_4220,bas50004220
BASIC5000_2889,bas50002889
BASIC5000_2651,bas50002651
BASIC5000_2862,bas50002862
BASIC5000_0913,bas50000913
BASIC5000_0907,bas50000907
BASIC5000_2876,bas50002876
BASIC5000_0091,bas50000091
BASIC5000_2686,bas50002686
BASIC5000_3598,bas50003598
BASIC5000_4591,bas50004591
BASIC5000_4585,bas50004585
BASIC5000_2692,bas50002692
BASIC5000_0085,bas50000085
BASIC5000_4584,bas50004584
BASIC5000_0084,bas50000084
BASIC5000_2693,bas50002693
BASIC5000_3599,bas50003599
BASIC5000_2687,bas50002687
BASIC5000_0090,bas50000090
BASIC5000_4590,bas50004590
BASIC5000_0906,bas50000906
BASIC5000_2877,bas50002877
BASIC5000_2863,bas50002863
BASIC5000_0912,bas50000912
BASIC5000_0721,bas50000721
BASIC5000_4547,bas50004547
BASIC5000_3228,bas50003228
BASIC5000_2136,bas50002136
BASIC5000_2650,bas50002650
BASIC5000_2888,bas50002888
BASIC5000_4221,bas50004221
BASIC5000_0047,bas50000047
BASIC5000_1359,bas50001359
BASIC5000_0053,bas50000053
BASIC5000_2644,bas50002644
BASIC5000_4235,bas50004235
BASIC5000_4553,bas50004553
BASIC5000_2122,bas50002122
BASIC5000_0735,bas50000735
BASIC5000_3214,bas50003214
BASIC5000_1403,bas50001403
BASIC5000_1365,bas50001365
BASIC5000_3572,bas50003572
BASIC5000_2678,bas50002678
BASIC5000_3566,bas50003566
BASIC5000_4209,bas50004209
BASIC5000_1371,bas50001371
BASIC5000_1417,bas50001417
BASIC5000_0709,bas50000709
BASIC5000_3200,bas50003200
BASIC5000_2491,bas50002491
BASIC5000_3957,bas50003957
BASIC5000_0286,bas50000286
BASIC5000_1198,bas50001198
BASIC5000_1826,bas50001826
BASIC5000_4786,bas50004786
BASIC5000_4792,bas50004792
BASIC5000_1832,bas50001832
BASIC5000_0292,bas50000292
BASIC5000_2485,bas50002485
BASIC5000_3943,bas50003943
BASIC5000_4962,bas50004962
BASIC5000_4976,bas50004976
BASIC5000_0245,bas50000245
BASIC5000_4023,bas50004023
BASIC5000_2452,bas50002452
BASIC5000_3994,bas50003994
BASIC5000_2334,bas50002334
BASIC5000_4745,bas50004745
BASIC5000_0523,bas50000523
BASIC5000_0537,bas50000537
BASIC5000_1629,bas50001629
BASIC5000_4989,bas50004989
BASIC5000_2320,bas50002320
BASIC5000_4751,bas50004751
BASIC5000_4037,bas50004037
BASIC5000_3758,bas50003758
BASIC5000_2446,bas50002446
BASIC5000_3980,bas50003980
BASIC5000_0251,bas50000251
BASIC5000_3770,bas50003770
BASIC5000_1167,bas50001167
BASIC5000_0279,bas50000279
BASIC5000_1601,bas50001601
BASIC5000_2308,bas50002308
BASIC5000_3016,bas50003016
BASIC5000_4779,bas50004779
BASIC5000_3002,bas50003002
BASIC5000_1615,bas50001615
BASIC5000_1173,bas50001173
BASIC5000_3764,bas50003764
BASIC5000_4194,bas50004194
BASIC5000_3823,bas50003823
BASIC5000_0494,bas50000494
BASIC5000_1952,bas50001952
BASIC5000_2283,bas50002283
BASIC5000_2297,bas50002297
BASIC5000_3189,bas50003189
BASIC5000_0480,bas50000480
BASIC5000_1946,bas50001946
BASIC5000_4180,bas50004180
BASIC5000_3837,bas50003837
BASIC5000_4816,bas50004816
BASIC5000_4802,bas50004802
BASIC5000_0331,bas50000331
BASIC5000_2526,bas50002526
BASIC5000_3638,bas50003638
BASIC5000_4157,bas50004157
BASIC5000_4631,bas50004631
BASIC5000_2240,bas50002240
BASIC5000_1749,bas50001749
BASIC5000_0457,bas50000457
BASIC5000_1991,bas50001991
BASIC5000_0443,bas50000443
BASIC5000_1985,bas50001985
BASIC5000_4625,bas50004625
BASIC5000_2254,bas50002254
BASIC5000_2532,bas50002532
BASIC5000_4143,bas50004143
BASIC5000_0325,bas50000325
BASIC5000_3604,bas50003604
BASIC5000_1013,bas50001013
BASIC5000_1775,bas50001775
BASIC5000_3162,bas50003162
BASIC5000_4619,bas50004619
BASIC5000_3176,bas50003176
BASIC5000_2268,bas50002268
BASIC5000_1761,bas50001761
BASIC5000_0319,bas50000319
BASIC5000_1007,bas50001007
BASIC5000_3610,bas50003610
BASIC5000_2081,bas50002081
BASIC5000_1588,bas50001588
BASIC5000_0696,bas50000696
BASIC5000_4396,bas50004396
BASIC5000_4382,bas50004382
BASIC5000_0682,bas50000682
BASIC5000_2095,bas50002095
BASIC5000_0872,bas50000872
BASIC5000_2903,bas50002903
BASIC5000_2917,bas50002917
BASIC5000_0866,bas50000866
BASIC5000_0655,bas50000655
BASIC5000_2042,bas50002042
BASIC5000_4433,bas50004433
BASIC5000_4355,bas50004355
BASIC5000_2724,bas50002724
BASIC5000_0133,bas50000133
BASIC5000_1239,bas50001239
BASIC5000_0127,bas50000127
BASIC5000_4341,bas50004341
BASIC5000_2730,bas50002730
BASIC5000_2056,bas50002056
BASIC5000_3348,bas50003348
BASIC5000_4427,bas50004427
BASIC5000_0641,bas50000641
BASIC5000_0899,bas50000899
BASIC5000_3360,bas50003360
BASIC5000_0669,bas50000669
BASIC5000_1577,bas50001577
BASIC5000_1211,bas50001211
BASIC5000_4369,bas50004369
BASIC5000_3406,bas50003406
BASIC5000_2718,bas50002718
BASIC5000_3412,bas50003412
BASIC5000_1205,bas50001205
BASIC5000_1563,bas50001563
BASIC5000_3374,bas50003374
BASIC5000_0645,bas50000645
BASIC5000_4423,bas50004423
BASIC5000_2052,bas50002052
BASIC5000_2734,bas50002734
BASIC5000_4345,bas50004345
BASIC5000_0123,bas50000123
BASIC5000_0137,bas50000137
BASIC5000_1229,bas50001229
BASIC5000_2720,bas50002720
BASIC5000_4351,bas50004351
BASIC5000_3358,bas50003358
BASIC5000_4437,bas50004437
BASIC5000_2046,bas50002046
BASIC5000_0889,bas50000889
BASIC5000_0651,bas50000651
BASIC5000_3370,bas50003370
BASIC5000_1567,bas50001567
BASIC5000_0679,bas50000679
BASIC5000_1201,bas50001201
BASIC5000_2708,bas50002708
BASIC5000_4379,bas50004379
BASIC5000_3416,bas50003416
BASIC5000_3402,bas50003402
BASIC5000_1215,bas50001215
BASIC5000_1573,bas50001573
BASIC5000_3364,bas50003364
BASIC5000_2091,bas50002091
BASIC5000_0686,bas50000686
BASIC5000_1598,bas50001598
BASIC5000_4386,bas50004386
BASIC5000_4392,bas50004392
BASIC5000_0692,bas50000692
BASIC5000_2085,bas50002085
BASIC5000_0862,bas50000862
BASIC5000_2913,bas50002913
BASIC5000_2907,bas50002907
BASIC5000_0876,bas50000876
BASIC5000_0321,bas50000321
BASIC5000_3628,bas50003628
BASIC5000_4147,bas50004147
BASIC5000_2536,bas50002536
BASIC5000_2250,bas50002250
BASIC5000_4621,bas50004621
BASIC5000_0447,bas50000447
BASIC5000_1981,bas50001981
BASIC5000_1759,bas50001759
BASIC5000_0453,bas50000453
BASIC5000_1995,bas50001995
BASIC5000_2244,bas50002244
BASIC5000_4635,bas50004635
BASIC5000_4153,bas50004153
BASIC5000_2522,bas50002522
BASIC5000_0335,bas50000335
BASIC5000_3614,bas50003614
BASIC5000_1003,bas50001003
BASIC5000_1765,bas50001765
BASIC5000_3172,bas50003172
BASIC5000_2278,bas50002278
BASIC5000_4609,bas50004609
BASIC5000_3166,bas50003166
BASIC5000_1771,bas50001771
BASIC5000_1017,bas50001017
BASIC5000_0309,bas50000309
BASIC5000_3600,bas50003600
BASIC5000_3833,bas50003833
BASIC5000_4184,bas50004184
BASIC5000_0484,bas50000484
BASIC5000_1942,bas50001942
BASIC5000_2293,bas50002293
BASIC5000_3199,bas50003199
BASIC5000_2287,bas50002287
BASIC5000_0490,bas50000490
BASIC5000_1956,bas50001956
BASIC5000_3827,bas50003827
BASIC5000_4190,bas50004190
BASIC5000_4806,bas50004806
BASIC5000_4812,bas50004812
BASIC5000_0255,bas50000255
BASIC5000_2442,bas50002442
BASIC5000_3984,bas50003984
BASIC5000_4033,bas50004033
BASIC5000_4755,bas50004755
BASIC5000_2324,bas50002324
BASIC5000_0533,bas50000533
BASIC5000_1639,bas50001639
BASIC5000_0527,bas50000527
BASIC5000_4741,bas50004741
BASIC5000_2330,bas50002330
BASIC5000_4999,bas50004999
BASIC5000_2456,bas50002456
BASIC5000_3990,bas50003990
BASIC5000_4027,bas50004027
BASIC5000_3748,bas50003748
BASIC5000_0241,bas50000241
BASIC5000_3760,bas50003760
BASIC5000_0269,bas50000269
BASIC5000_1177,bas50001177
BASIC5000_1611,bas50001611
BASIC5000_3006,bas50003006
BASIC5000_4769,bas50004769
BASIC5000_2318,bas50002318
BASIC5000_3012,bas50003012
BASIC5000_1605,bas50001605
BASIC5000_1163,bas50001163
BASIC5000_3774,bas50003774
BASIC5000_2481,bas50002481
BASIC5000_3947,bas50003947
BASIC5000_1188,bas50001188
BASIC5000_0296,bas50000296
BASIC5000_1836,bas50001836
BASIC5000_4796,bas50004796
BASIC5000_4782,bas50004782
BASIC5000_1822,bas50001822
BASIC5000_0282,bas50000282
BASIC5000_2495,bas50002495
BASIC5000_3953,bas50003953
BASIC5000_4972,bas50004972
BASIC5000_4966,bas50004966
BASIC5000_0731,bas50000731
BASIC5000_2126,bas50002126
BASIC5000_4557,bas50004557
BASIC5000_3238,bas50003238
BASIC5000_4231,bas50004231
BASIC5000_2898,bas50002898
BASIC5000_2640,bas50002640
BASIC5000_1349,bas50001349
BASIC5000_0057,bas50000057
BASIC5000_0043,bas50000043
BASIC5000_4225,bas50004225
BASIC5000_2654,bas50002654
BASIC5000_2132,bas50002132
BASIC5000_4543,bas50004543
BASIC5000_0725,bas50000725
BASIC5000_3204,bas50003204
BASIC5000_1413,bas50001413
BASIC5000_1375,bas50001375
BASIC5000_3562,bas50003562
BASIC5000_3576,bas50003576
BASIC5000_4219,bas50004219
BASIC5000_2668,bas50002668
BASIC5000_1361,bas50001361
BASIC5000_0719,bas50000719
BASIC5000_1407,bas50001407
BASIC5000_3210,bas50003210
BASIC5000_4594,bas50004594
BASIC5000_0094,bas50000094
BASIC5000_2683,bas50002683
BASIC5000_2697,bas50002697
BASIC5000_3589,bas50003589
BASIC5000_0080,bas50000080
BASIC5000_4580,bas50004580
BASIC5000_0916,bas50000916
BASIC5000_2867,bas50002867
BASIC5000_2873,bas50002873
BASIC5000_0902,bas50000902
BASIC5000_2872,bas50002872
BASIC5000_0903,bas50000903
BASIC5000_0917,bas50000917
BASIC5000_2866,bas50002866
BASIC5000_0081,bas50000081
BASIC5000_3588,bas50003588
BASIC5000_2696,bas50002696
BASIC5000_4581,bas50004581
BASIC5000_4595,bas50004595
BASIC5000_2682,bas50002682
BASIC5000_0095,bas50000095
BASIC5000_1360,bas50001360
BASIC5000_2669,bas50002669
BASIC5000_4218,bas50004218
BASIC5000_3577,bas50003577
BASIC5000_3211,bas50003211
BASIC5000_1406,bas50001406
BASIC5000_0718,bas50000718
BASIC5000_1412,bas50001412
BASIC5000_3205,bas50003205
BASIC5000_3563,bas50003563
BASIC5000_1374,bas50001374
BASIC5000_2655,bas50002655
BASIC5000_4224,bas50004224
BASIC5000_0042,bas50000042
BASIC5000_0724,bas50000724
BASIC5000_4542,bas50004542
BASIC5000_2133,bas50002133
BASIC5000_3239,bas50003239
BASIC5000_4556,bas50004556
BASIC5000_2127,bas50002127
BASIC5000_0730,bas50000730
BASIC5000_0056,bas50000056
BASIC5000_1348,bas50001348
BASIC5000_2641,bas50002641
BASIC5000_2899,bas50002899
BASIC5000_4230,bas50004230
BASIC5000_4967,bas50004967
BASIC5000_4973,bas50004973
BASIC5000_1823,bas50001823
BASIC5000_4783,bas50004783
BASIC5000_3952,bas50003952
BASIC5000_2494,bas50002494
BASIC5000_0283,bas50000283
BASIC5000_0297,bas50000297
BASIC5000_1189,bas50001189
BASIC5000_3946,bas50003946
BASIC5000_2480,bas50002480
BASIC5000_4797,bas50004797
BASIC5000_1837,bas50001837
BASIC5000_1604,bas50001604
BASIC5000_3013,bas50003013
BASIC5000_3775,bas50003775
BASIC5000_1162,bas50001162
BASIC5000_1176,bas50001176
BASIC5000_0268,bas50000268
BASIC5000_3761,bas50003761
BASIC5000_2319,bas50002319
BASIC5000_4768,bas50004768
BASIC5000_3007,bas50003007
BASIC5000_1610,bas50001610
BASIC5000_4998,bas50004998
BASIC5000_2331,bas50002331
BASIC5000_4740,bas50004740
BASIC5000_0526,bas50000526
BASIC5000_1638,bas50001638
BASIC5000_0240,bas50000240
BASIC5000_3749,bas50003749
BASIC5000_4026,bas50004026
BASIC5000_3991,bas50003991
BASIC5000_2457,bas50002457
BASIC5000_4032,bas50004032
BASIC5000_3985,bas50003985
BASIC5000_2443,bas50002443
BASIC5000_0254,bas50000254
BASIC5000_0532,bas50000532
BASIC5000_2325,bas50002325
BASIC5000_4754,bas50004754
BASIC5000_4813,bas50004813
BASIC5000_4807,bas50004807
BASIC5000_1957,bas50001957
BASIC5000_0491,bas50000491
BASIC5000_2286,bas50002286
BASIC5000_3198,bas50003198
BASIC5000_4191,bas50004191
